City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
187,Zonguldak,TR,2022-07-26 13:55:26,41.25,31.8333,77.25,47,1,8.48
188,Brownsville,US,2022-07-26 13:55:26,25.9018,-97.4975,85.91,83,15,1.01
189,Gerstetten,DE,2022-07-26 13:55:27,48.6333,10.0333,80.8,43,1,13.94
190,Honiara,SB,2022-07-26 13:50:43,-9.4333,159.95,77.31,85,37,4.52
191,Frunze,UA,2022-07-26 13:55:27,48.6686,38.7544,77.54,51,100,4.45
192,Varadero,CU,2022-07-26 13:51:54,23.1536,-81.2514,81.88,79,42,12.24
193,Safaga,EG,2022-07-26 13:55:28,26.7292,33.9365,87.62,51,0,5.06
194,Coahuayana,MX,2022-07-26 13:55:28,18.7333,-103.6833,77.58,91,39,3.87
195,Pumiao,CN,2022-07-26 13:55:29,22.75,108.4833,86.4,80,6,9.69
196,Naze,JP,2022-07-26 13:55:29,28.3667,129.4833,81.52,76,22,6.44
197,Cairns,AU,2022-07-26 13:55:13,-16.9167,145.7667,69.75,85,40,11.5
198,Kuandian,CN,2022-07-26 13:50:48,40.7286,124.7847,71.47,93,100,1.28
199,Akyab,MM,2022-07-26 13:55:30,20.15,92.9,83.75,75,22,5.23
200,Te Anau,NZ,2022-07-26 13:55:30,-45.4167,167.7167,42.33,98,100,3.94
201,Hithadhoo,MV,2022-07-26 13:55:31,-0.6,73.0833,83.26,75,86,12.55
202,Biltine,TD,2022-07-26 13:55:31,14.5333,20.9167,95.77,32,99,9.69
203,Itoman,JP,2022-07-26 13:55:32,26.1247,127.6694,81.37,86,75,6.91
204,Aksu,CN,2022-07-26 13:55:32,41.1231,80.2644,94.75,17,0,7.38
205,Guerrero Negro,MX,2022-07-26 13:55:32,27.9769,-114.0611,68.49,82,100,4.61
206,Ndende,GA,2022-07-26 13:55:33,-2.4008,11.3581,89.83,40,86,4.9
207,Pervomaysk,UA,2022-07-26 13:55:33,48.0443,30.8507,87.21,24,41,8.21
208,Broome,US,2022-07-26 13:55:34,42.2506,-75.833,70.47,73,100,1.01
209,Soria,ES,2022-07-26 13:55:34,41.6667,-2.6667,92.1,29,0,10.63
210,Butembo,CD,2022-07-26 13:55:35,0.15,29.2833,68.9,67,98,1.59
211,Acapulco,MX,2022-07-26 13:55:03,16.8634,-99.8901,80.19,69,99,2.13
212,Bastia,FR,2022-07-26 13:55:35,42.6667,9.3333,94.8,73,20,12.66
213,Port Hardy,CA,2022-07-26 13:55:35,50.6996,-127.4199,55.58,100,100,5.75
214,Pa Sang,TH,2022-07-26 13:55:36,18.5262,98.9394,84.4,79,15,2.39
215,Rawson,AR,2022-07-26 13:51:42,-43.3002,-65.1023,46.69,100,100,2.3
216,Vila Velha,BR,2022-07-26 13:53:52,-20.3297,-40.2925,78.75,75,40,2.3
217,Celestun,MX,2022-07-26 13:55:36,20.8667,-90.4,80.82,75,98,8.9
218,Nantucket,US,2022-07-26 13:55:37,41.2835,-70.0995,80.02,80,3,7.52
219,Trincomalee,LK,2022-07-26 13:55:37,8.5711,81.2335,82.24,78,80,9.69
220,Road Town,VG,2022-07-26 13:55:38,18.4167,-64.6167,82.44,78,20,11.5
221,Hit,IQ,2022-07-26 13:55:38,33.6416,42.8251,107.69,7,0,14.92
222,Alyangula,AU,2022-07-26 13:55:39,-13.8483,136.4192,68.72,87,2,10.0
223,Jaguaruna,BR,2022-07-26 13:55:39,-28.615,-49.0256,70.09,67,0,7.31
224,Half Moon Bay,US,2022-07-26 13:56:39,37.4636,-122.4286,62.62,89,100,6.91
225,Matara,LK,2022-07-26 13:56:27,5.9485,80.5353,77.16,91,100,4.68
226,Touros,BR,2022-07-26 13:56:40,-5.1989,-35.4608,82.15,60,98,16.91
227,Port Elizabeth,ZA,2022-07-26 13:56:40,-33.918,25.5701,79.11,58,0,12.66
228,Vincennes,FR,2022-07-26 13:56:41,48.85,2.4333,74.71,49,100,8.05
229,Boma,GH,2022-07-26 13:56:41,7.0805,-2.1697,72.5,97,100,3.96
230,Armidale,AU,2022-07-26 13:56:42,-30.5167,151.65,35.29,78,15,14.94
231,Taltal,CL,2022-07-26 13:56:42,-25.4,-70.4833,61.65,67,5,3.6
232,Pangnirtung,CA,2022-07-26 13:56:43,66.1451,-65.7125,41.0,93,75,11.5
233,Qasigiannguit,GL,2022-07-26 13:56:43,68.8193,-51.1922,37.94,98,100,1.79
234,Mudu,CN,2022-07-26 13:56:43,31.252,120.5118,80.19,89,100,5.86
235,Kamenka,RU,2022-07-26 13:56:44,51.3223,42.7678,78.26,56,84,4.45
236,Pokhara,NP,2022-07-26 13:54:24,28.2333,83.9833,72.57,93,98,1.95
